_id,text
ObjectId("5e28fe3f9f32ef20387f4297"),Policía se niega a detener a asaltantes de anciana en las calles del centro de la #CDMX; otros uniformados lo detuv… https://t.co/7rsgqyb9l8
ObjectId("5e28fe3f9f32ef20387f4298"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f4299"),Policías de @SSP_CDMX evitan robo en #centrocambiarios de la @LaRomaDF en @AlcCuauhtemocMx Hay un detenido… https://t.co/PTgTy7Lryo
ObjectId("5e28fe3f9f32ef20387f429a"),RT @CapitalMX_: López Obrador pedirá a Pemex explique robo de crudo en Golfo de México https://t.co/s7dsh4fx94
ObjectId("5e28fe3f9f32ef20387f429b"),El pasado *Viernes 17/01/2020* a las *11.50 PM* fui despojado de mis pertenencias y el Vehículo *Mazda 3 2016* Plac… https://t.co/OhxLnKEjgO
ObjectId("5e28fe3f9f32ef20387f429c"),@ClaudiaLizaldi Dure años con placas de CDMX y del edo mex. y lo que gane es que me robaran una SUV en la puerta de… https://t.co/zRn4Z2ZWrc
ObjectId("5e28fe3f9f32ef20387f429d"),RT @danialbazr: @MaRyFeRGgV @alexalba @SSP_CDMX @GobCDMX Juraría que es el mismo señor que nos robó una compu en un congreso en 2017, en un…
ObjectId("5e28fe3f9f32ef20387f429e"),@MaRyFeRGgV @alexalba @SSP_CDMX @GobCDMX Juraría que es el mismo señor que nos robó una compu en un congreso en 201… https://t.co/sCBuUZXeeC
ObjectId("5e28fe3f9f32ef20387f429f"),RT @DefensaAnimal: Emilio, el bulldog robado en la Col. Roma, fue afortunado él pudo regresar a casa, pero no siempre es así. Los robos de…
ObjectId("5e28fe3f9f32ef20387f42a0"),RT @telediario: 📺 Buscan aprobación de iniciativa para castigar el robo y secuestro de mascotas, debido al incremento de estos delitos en l…
ObjectId("5e28fe3f9f32ef20387f42a1"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42a2"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
